Calendar Date (TDB),X,Y,VX,VY
A.D. 2022-Sep-23 00:00:00.0000,150140939.462288000000000,-923809.630887673000000,-0.294992599928583,29.685791300652800
A.D. 2022-Sep-24 00:00:00.0000,150093375.796348000000000,1641110.930187310000000,-0.806114412903348,29.685839252926300
