Calendar Date (TDB),X,Y,VX,VY
A.D. 2022-Sep-23 00:00:00.0000,-101431951.9875520000000,35255626.7524884000000,-11.6635307574431,-33.2401568372697
A.D. 2022-Sep-24 00:00:00.0000,-102399189.8725970000000,32370030.5247299000000,-10.7247953079998,-33.5516075944930
